content,sentiment
Mantap,Positif
semoga lebih baik lagi,Positif
Ok,Positif
Sangat membantu dengan adanya pembuatan sim online,Positif
"Alhamdulillah, SIM sudah mendarat dengan selamat sampe Rumah. Terima Kasih banyak buat Korlantas Polri. Mohon maaf jika kemaren agak Pesimis. Dengan Aplikasi ini saya sangat terbantu. Untuk yg laen Mohon bersabar, dari awal daftar mpe SIM mendarat dirumah butuh sekitar 7 Hari kerja (krn lonjakan pendaftar sangat tinggi). SUKSES BUAT KORLANTAS POLRI.",Positif
Bagus lah,Positif
"Ketika foto wajah untk verifikasi nik emang gagal terus tp pas ganti hp langsung lancar smua prosesnya. Alhamdulillah on proses bikin cardnya. Tinggal nunggu d kirim 😊 makasi korlantas polri dah bikin app ini, gk perlu capek² antre",Positif
Good,Positif
Subandi asep s.kom polri polda,Positif
Mudah mudahan dengan mudahnya pelayanan ini masyarakat makin percaya terhadap polri,Positif
"Permisi, mau tanya SIM sy habis masa berlakunya bulan juni 2020, skrg saya mau perpanjang lagi dan skalian bayar dendanya, apkah bisa lewat apk ini??",Positif
"transaksi gagal dalam pembayaran di karenakan keluar dari aplikasi secara tidak sengaja,mau menyelesaikan pembayaran harus bagaimana ,gak ada petunjuk sama sekali,",Positif
"Perpanjang SIM dari rumah, sudah jadi diantar ke rumah dan pastinya sah. Terima Kasih Polri, semoga ke depan semkain baik. Bravo!.",Positif
Mudah2an bisa memudah kan kita untuk perpanjang sim,Positif
Alhamdulillah punya saya udah beres mantappppp deh,Positif
Sangat Baik Dan Membantu Serta Mempermudah Masyarakat Dalam Mengurus SIM,Positif
"Dalam kondisi pandemi sekarang, aplikasi seperti ini sengat bermanfaat dan diperlukan, untung mengurangi penyebaran corona19. Secepatnya fitur yang ada di buka admin, saya mengharapkan fitur pendaftaran AIM baru cepat dibuka...",Positif
Sangat sangat membantu di saat pandemi seperti ini.. apalagi domisili dan alamat di KTP masih beda.. Semoga kedepannya makin ditambah lagi untuk pembagian SATPASnya..,Positif
sdh sangat membantu tapi lebih diperbaiki jejaringnya🙏🙏🙏🙏🙏,Positif
"Seumpama SIM ga kebawa,terus nunjukin aplikasi ini,apa bisa sebagai pengganti SIM?",Positif
Alhamdulillah sim nya sudah smpe rumah..Sangat membantu... Ga harus keluar. cukup d rumah saja tinggal tunggu pak pos dateng...,Positif
Bagus,Positif
"Saya suda mencoba sudah smpai tahap bayar dan udh 40% semoga aja bisa segera diproses yaa , sim saya habis 14 mei nanti , saya ga ada waktu buat perpanjangan ke satpas terdekat",Positif
Mantap,Positif
"Ikuti langkah demi langkah dengan baik, pastikan akses internet bagus, saran saya lakukan prosesnya di tengah malam, kemudian jangan terlalu mepet dengan jatuh tempo masa berlaku SIM. Alhamdulillah saya berhasil dan mendapatkan THR dari Digital Korlantas berupa SIM baru.🙏🙏 Saya kira aplikasi ini perlu kita dukung, karena sedikit banyak terobosan yang dilakukan korlantas ini juga memberantas praktik2 percaloan dan KKN. Kedepan aplikasi ini saya harap makin baik. #keselamatan untuk kemanusiaan",Positif
Mantap betul mantul,Positif
Mempermudah masyarakat Indonesia tentunnya . Dan anti PungLi,Positif
"Alhamduillah....apikasi yang sangat membantu ditengah pandemi hanya duduk dirumah, SIM perpanjanganudah terkirim.. trimakasih polri yg telah mempermudah dalam pengurusan, semoga aplikasi ini dpt lebih berkembang lagi....",Positif
Perlu bersabar perpanjang dengan aplikasi ini....Alhamdulillah....1 minggu SIM C istri saya jadi....tinggal nunggu dikirim...mudah sambil tiduran dirumah tidak report antri....dan murah....tks POLRI,Positif
"majuu teruss gann, chaiyoo",Positif
Ok,Positif
Ok optimal,Positif
"Perlu banyak perbaikan, tapi so far cukup membantu dan bermanfaat sekali aplikasinya..",Positif
"Sangat membantu dan bermanfaat bagi masyarakat, terimakasih.",Positif
"Sangat membantu disaat pandemi seperti ini .. saya perpanjang sim C tgl 28 April, tgl 4 Mei sudah sampai di rumah 👍👍👍",Positif
Baik,Positif
Terus tingkatkan pelayanan demi kemudahan masyarakat untuk mengurus surat surat penting tanpa melewati prosedur ofline yg terkadang masih terdapat beberapa calo maupun pungutan liar.,Positif
Mantap dah Berjaya terus polisi Indonesia,Positif
Sangaat membantuu sekali,Positif
App bagus . Membantu .,Positif
Mantap.,Positif
"Proses perpanjangan sim sudah selesai tinggal nunggu Paket sim sampai kerumah. daftar perpanjangan dan tes tanggal 29 April, lalu diproses tanggal 05 Mei. Aplikasinya bermanfaat untuk bumil seperti saya yang bentar lagi masa simnya habis dan dihimbau jangan melakukan perjalanan jauh dahulu. Terimakasih",Positif
mantap,Positif
"alhamdulillah... selesai juga, walaupun sempet ganti hp... dr xiaomi ke samsung...",Positif
Sangat membantu praktis dan simple,Positif
Saat ini saya sedang mencoba apk nya. Dan sudah ditransfer untuk pembayaran. Saya mau kasih masukan di menu transaksinya. Apabila terjadi 2 order. Tapi salah satunya uda ditransfer dan muncul nomer register (40%). Tapi ketika di klik yg muncul adalah transaksi yg blm teregister(20%). Sehingga saya kesulitan mengecek transaksi saya.trima kasih.,Positif
"Ditengah pandemi spt saat ini, kehadiran aplikasi SINAR dr Korlantas Polri sangatlah membantu. Tidak perlu repot-repot mengantri, cukup diurus dr rumah. Tanggal 3 diurus, tanggal 6 SIM sdh diterima. Sedikit yg menjadi catatan, Ongkir via pos masih lebih mahal dr tarif normal. Dr Jombang-Ponorogo tarifnya 25k. Mungkin krn berlaku tarif nasional y? Shg bisa saling subsidi silang, mengingat baru ada dua Polda (Polda Metro dan Jatim) yg bisa melayani secara online. Btw, terima kasih banyak Polri. 👍",Positif
Mantab sangat membantu..,Positif
Bagus,Positif
Sangat membantu,Positif
Sangat bagus sekali,Positif
Sangat bermanfaat,Positif
"Aplikasi ini membantu, untuk perpanjangan masa berlaku SIM dapat dilakukan dengan mudah, ikuti langkah-langkah yang diarahkan. Bagus, semoga untuk layanan pembuatan baru juga segera bisa ya!!",Positif
Semoga menjadi aplikasi polri yang baik dalam membenahi birokrasi di lingkungan polri seluruh Indonesia.,Positif
min apakah tanggal masa berlaku sim bisa di rubah? seharusnya yg benar 14 mei 2026 ... tapi ini salah 14 mei 2021... soalnya tinggal pembayaran saja min... tolong di respon ya... makasih,Positif
"Alhamdulillah sim sudah sampai, pengajuan tgl 26 april 2021, diterima tgl 6 mei 2021. Sedikit saran tolong di sosialisasikan lagi tata cara menggunakan aplikasi sim online, e rikkes dan e ppsi. Terima kasih",Positif
Mantap,Positif
