,content,sentiment,content_preprocessed
0,Mantap,Positif,mantap
1,semoga lebih baik lagi,Positif,moga
2,Ok,Positif,ok
3,Sangat membantu dengan adanya pembuatan sim online,Positif,bantu buat sim online
4,"Alhamdulillah, SIM sudah mendarat dengan selamat sampe Rumah. Terima Kasih banyak buat Korlantas Polri. Mohon maaf jika kemaren agak Pesimis. Dengan Aplikasi ini saya sangat terbantu. Untuk yg laen Mohon bersabar, dari awal daftar mpe SIM mendarat dirumah butuh sekitar 7 Hari kerja (krn lonjakan pendaftar sangat tinggi). SUKSES BUAT KORLANTAS POLRI.",Positif,alhamdulillah sim darat selamat rumah terima kasih korlantas polri mohon maaf kemarin pesimis aplikasi bantu mohon sabar daftar mpe sim darat rumah butuh kerja lonjak daftar sukses korlantas polri
5,Bagus lah,Positif,bagus
6,"Ketika foto wajah untk verifikasi nik emang gagal terus tp pas ganti hp langsung lancar smua prosesnya. Alhamdulillah on proses bikin cardnya. Tinggal nunggu d kirim 😊 makasi korlantas polri dah bikin app ini, gk perlu capek² antre",Positif,foto wajah verifikasi nik gagal pas ganti hp langsung lancar proses alhamdulillah on proses bikin cardnya tinggal tunggu kirim makas korlantas polri deh bikin app capek antre
7,Good,Positif,good
8,Subandi asep s.kom polri polda,Positif,subandi asep si kom polri polda
9,Mudah mudahan dengan mudahnya pelayanan ini masyarakat makin percaya terhadap polri,Positif,mudah mudah mudah layan masyarakat percaya polri
10,"Permisi, mau tanya SIM sy habis masa berlakunya bulan juni 2020, skrg saya mau perpanjang lagi dan skalian bayar dendanya, apkah bisa lewat apk ini??",Positif,permisi sim habis laku juni panjang skalian bayar denda apkah apk
11,"transaksi gagal dalam pembayaran di karenakan keluar dari aplikasi secara tidak sengaja,mau menyelesaikan pembayaran harus bagaimana ,gak ada petunjuk sama sekali,",Positif,transaksi gagal bayar karena aplikasi sengaja selesai bayar tunjuk
12,"Perpanjang SIM dari rumah, sudah jadi diantar ke rumah dan pastinya sah. Terima Kasih Polri, semoga ke depan semkain baik. Bravo!.",Positif,panjang sim rumah antar rumah pasti sah terima kasih polri moga semkain bravo
13,Mudah2an bisa memudah kan kita untuk perpanjang sim,Positif,mudah an mudah panjang sim
14,Alhamdulillah punya saya udah beres mantappppp deh,Positif,alhamdulillah beres mantappppp deh
15,Sangat Baik Dan Membantu Serta Mempermudah Masyarakat Dalam Mengurus SIM,Positif,bantu mudah masyarakat urus sim
16,"Dalam kondisi pandemi sekarang, aplikasi seperti ini sengat bermanfaat dan diperlukan, untung mengurangi penyebaran corona19. Secepatnya fitur yang ada di buka admin, saya mengharapkan fitur pendaftaran AIM baru cepat dibuka...",Positif,kondisi pandemi aplikasi sengat manfaat untung kurang sebar corona cepat fitur buka admin harap fitur daftar aim cepat buka
17,Sangat sangat membantu di saat pandemi seperti ini.. apalagi domisili dan alamat di KTP masih beda.. Semoga kedepannya makin ditambah lagi untuk pembagian SATPASnya..,Positif,bantu pandemi domisili alamat ktp beda moga depan tambah bagi satpasnya
18,sdh sangat membantu tapi lebih diperbaiki jejaringnya🙏🙏🙏🙏🙏,Positif,bantu baik jejaringnya
19,"Seumpama SIM ga kebawa,terus nunjukin aplikasi ini,apa bisa sebagai pengganti SIM?",Positif,umpama sim bawa nunjukin aplikasi ganti sim
20,Alhamdulillah sim nya sudah smpe rumah..Sangat membantu... Ga harus keluar. cukup d rumah saja tinggal tunggu pak pos dateng...,Positif,alhamdulillah sim rumah bantu rumah tinggal tunggu pos
21,Bagus,Positif,bagus
22,"Saya suda mencoba sudah smpai tahap bayar dan udh 40% semoga aja bisa segera diproses yaa , sim saya habis 14 mei nanti , saya ga ada waktu buat perpanjangan ke satpas terdekat",Positif,coba tahap bayar moga proses sim habis mei panjang satpas dekat
23,Mantap,Positif,mantap
24,"Ikuti langkah demi langkah dengan baik, pastikan akses internet bagus, saran saya lakukan prosesnya di tengah malam, kemudian jangan terlalu mepet dengan jatuh tempo masa berlaku SIM. Alhamdulillah saya berhasil dan mendapatkan THR dari Digital Korlantas berupa SIM baru.🙏🙏 Saya kira aplikasi ini perlu kita dukung, karena sedikit banyak terobosan yang dilakukan korlantas ini juga memberantas praktik2 percaloan dan KKN. Kedepan aplikasi ini saya harap makin baik. #keselamatan untuk kemanusiaan",Positif,ikut langkah langkah pasti akses internet bagus saran laku proses malam mepet jatuh tempo laku sim alhamdulillah hasil thr digital korlantas sim aplikasi dukung terobos korlantas berantas praktik calo kkn depan aplikasi harap selamat manusia
25,Mantap betul mantul,Positif,mantap mantul
26,Mempermudah masyarakat Indonesia tentunnya . Dan anti PungLi,Positif,mudah masyarakat indonesia tentunnya anti pungli
27,"Alhamduillah....apikasi yang sangat membantu ditengah pandemi hanya duduk dirumah, SIM perpanjanganudah terkirim.. trimakasih polri yg telah mempermudah dalam pengurusan, semoga aplikasi ini dpt lebih berkembang lagi....",Positif,alhamduillah apikasi bantu tengah pandemi duduk rumah sim perpanjanganudah kirim trimakasih polri mudah urus moga aplikasi kembang
28,Perlu bersabar perpanjang dengan aplikasi ini....Alhamdulillah....1 minggu SIM C istri saya jadi....tinggal nunggu dikirim...mudah sambil tiduran dirumah tidak report antri....dan murah....tks POLRI,Positif,sabar panjang aplikasi alhamdulillah minggu sim sih istri tinggal tunggu kirim mudah tidur rumah report antri murah tks polri
29,"majuu teruss gann, chaiyoo",Positif,majuu gann chaiyoo
30,Ok,Positif,ok
31,Ok optimal,Positif,ok optimal
32,"Perlu banyak perbaikan, tapi so far cukup membantu dan bermanfaat sekali aplikasinya..",Positif,baik sok far bantu manfaat aplikasi
33,"Sangat membantu dan bermanfaat bagi masyarakat, terimakasih.",Positif,bantu manfaat masyarakat terimakasih
34,"Sangat membantu disaat pandemi seperti ini .. saya perpanjang sim C tgl 28 April, tgl 4 Mei sudah sampai di rumah 👍👍👍",Positif,bantu saat pandemi panjang sim sih tanggal april tanggal mei rumah
36,Terus tingkatkan pelayanan demi kemudahan masyarakat untuk mengurus surat surat penting tanpa melewati prosedur ofline yg terkadang masih terdapat beberapa calo maupun pungutan liar.,Positif,tingkat layan mudah masyarakat urus surat surat lewat prosedur ofline terkadang calo pungut liar
37,Mantap dah Berjaya terus polisi Indonesia,Positif,mantap deh jaya polisi indonesia
38,Sangaat membantuu sekali,Positif,sangaat membantuu
39,App bagus . Membantu .,Positif,app bagus bantu
40,Mantap.,Positif,mantap
41,"Proses perpanjangan sim sudah selesai tinggal nunggu Paket sim sampai kerumah. daftar perpanjangan dan tes tanggal 29 April, lalu diproses tanggal 05 Mei. Aplikasinya bermanfaat untuk bumil seperti saya yang bentar lagi masa simnya habis dan dihimbau jangan melakukan perjalanan jauh dahulu. Terimakasih",Positif,proses panjang sim selesai tinggal tunggu paket sim rumah daftar panjang tes tanggal april proses tanggal mei aplikasi manfaat bumil bentar simnya habis dihimbau jalan terimakasih
42,mantap,Positif,mantap
43,"alhamdulillah... selesai juga, walaupun sempet ganti hp... dr xiaomi ke samsung...",Positif,alhamdulillah selesai ganti hp xiaomi samsung
44,Sangat membantu praktis dan simple,Positif,bantu praktis simple
45,Saat ini saya sedang mencoba apk nya. Dan sudah ditransfer untuk pembayaran. Saya mau kasih masukan di menu transaksinya. Apabila terjadi 2 order. Tapi salah satunya uda ditransfer dan muncul nomer register (40%). Tapi ketika di klik yg muncul adalah transaksi yg blm teregister(20%). Sehingga saya kesulitan mengecek transaksi saya.trima kasih.,Positif,coba apk transfer bayar kasih masuk menu transaksi order salah satu transfer muncul nomer register klik muncul transaksi register sulit ecek transaksi terima kasih
46,"Ditengah pandemi spt saat ini, kehadiran aplikasi SINAR dr Korlantas Polri sangatlah membantu. Tidak perlu repot-repot mengantri, cukup diurus dr rumah. Tanggal 3 diurus, tanggal 6 SIM sdh diterima. Sedikit yg menjadi catatan, Ongkir via pos masih lebih mahal dr tarif normal. Dr Jombang-Ponorogo tarifnya 25k. Mungkin krn berlaku tarif nasional y? Shg bisa saling subsidi silang, mengingat baru ada dua Polda (Polda Metro dan Jatim) yg bisa melayani secara online. Btw, terima kasih banyak Polri. 👍",Positif,tengah pandemi hadir aplikasi sinar korlantas polri bantu repot antri urus rumah tanggal urus tanggal sim terima catat ongkir via pos mahal tarif normal jombang-ponorogo tarif laku tarif nasional shg subsidi silang polda polda metro jatim layan online btw terima kasih polri
47,Mantab sangat membantu..,Positif,mantab bantu
48,Bagus,Positif,bagus
49,Sangat membantu,Positif,bantu
50,Sangat bagus sekali,Positif,bagus
51,Sangat bermanfaat,Positif,manfaat
52,"Aplikasi ini membantu, untuk perpanjangan masa berlaku SIM dapat dilakukan dengan mudah, ikuti langkah-langkah yang diarahkan. Bagus, semoga untuk layanan pembuatan baru juga segera bisa ya!!",Positif,aplikasi bantu panjang laku sim mudah ikut langkah arah bagus moga layan buat
53,Semoga menjadi aplikasi polri yang baik dalam membenahi birokrasi di lingkungan polri seluruh Indonesia.,Positif,moga aplikasi polri benah birokrasi lingkung polri indonesia
54,min apakah tanggal masa berlaku sim bisa di rubah? seharusnya yg benar 14 mei 2026 ... tapi ini salah 14 mei 2021... soalnya tinggal pembayaran saja min... tolong di respon ya... makasih,Positif,min tanggal laku sim rubah mei salah mei tinggal bayar min tolong respon makasih
55,"Alhamdulillah sim sudah sampai, pengajuan tgl 26 april 2021, diterima tgl 6 mei 2021. Sedikit saran tolong di sosialisasikan lagi tata cara menggunakan aplikasi sim online, e rikkes dan e ppsi. Terima kasih",Positif,alhamdulillah sim aju tanggal april terima tanggal mei saran tolong sosialisasi tata aplikasi sim online e rikkes e ppsi terima kasih
56,Mantap,Positif,mantap
57,"Saya sudah daftar perpanjangan SIM dari tanggal 3 mei 2021, sudah mengikuti sesuai prosedur yang diminta, sudah sampai tahap pembayaran, untuk saat ini status transaksinya masih dibayar, sedangkan SIM masa berlakunya sampai tanggal 10 mei 2021, mohon segera ditindaklanjuti. Terimakasih.",Positif,daftar panjang sim tanggal mei ikut sesuai prosedur tahap bayar status transaksi bayar sim laku tanggal mei mohon ditindaklanjuti terimakasih
58,Alhamdulillah akhirnya di proses jg sim sy stelah pengajuan dr tanggal 30 april sampai skrng tgl 6 mei status di kirim.smoga kedepan nya SLA nya lebih cepat lagi Korlantas Polri.BRAVO !!!,Positif,alhamdulillah proses sim aju tanggal april tanggal mei status kirim moga depan sla cepat korlantas polri bravo
59,"Muter"" terus di lokasi satpas sudah dicoba seharian...polda jabar emang belum ada ya? Kalau saya tinggal di bandung berarti belum bisa menggunakan aplikasi ini?",Positif,muter lokasi satpas coba hari polda jabar tinggal bandung aplikasi
60,Saya sudah bayar Tes Kesehatan dan Psikotes tapi tidak ada pilihan tes kesehatanya tidak terkoneksi dengan barcode faskes yg di sarankan.,Positif,bayar tes sehat psikotes pilih tes kesehatanya koneksi barcode faskes saran
61,"Alhamdulillah sehari smua proses tes kesehatan dan psikotes selesai,dan sempat error di hari pertama ..di hari ke2 semua selesai dan lgsg penyelesaian pembayaran ,dan di aplikasi sudah kelihatan sim a saya .mohon tanya ,saya sempat salah memasukan masa berlaku ..di 26 mei 2021 .harusnya di 2026 .apakah bisa di ralat di sana,wkt di cetak..terima kasih",Positif,alhamdulillah hari proses tes sehat psikotes selesai error selesai langsung selesai bayar aplikasi sim a mohon salah pasu laku mei ralat cetak terima kasih
62,"Saya ucapkan terima kasih kepada POLRI, karena dengan adanya aplikasi Digital Korlantas Polri ini saya bisa memperpanjang SIM saya secara online, walaupun butuh waktu 7 hari dari tgl 27 april baru diproses tgl 4 Mei dan dikirim tgl 5 Mei via kantor pos, karena mungkin terjadi lonjakan yg memperpanjang sim jadi butuh waktu untuk diprosesnya. Terima kasih POLRI..",Positif,ucap terima kasih polri aplikasi digital korlantas polri panjang sim online butuh tanggal april proses tanggal mei kirim tanggal mei via kantor pos lonjak panjang sim butuh proses terima kasih polri
63,Ferry good,Positif,ferry good
64,Mantap akhirnya sukses terimakasih Korlantas Porli tinggal pengambilan SIM sukses terus,Positif,mantap sukses terimakasih korlantas porli tinggal ambil sim sukses
65,Sangat membantu,Positif,bantu
66,Apakah tes kesehatan tetap harus ke faskes,Positif,tes sehat faskes
67,"SIM kita terekam secara digital pada aplikasi ini. pertanyaannya apakah jika ada razia polisi ataupun saat petugas menanyakan tentang kelengkapan berkendara yg salah satunya adalah SIM, kita bisa menunjukan SIM yg tertera pada aplikasi ini? jika bisa apa dasar hukumnya biar kami masyarakat tau? Jika tidak bisa unt apa ada SIM digital? Krn sekarang pun sdh zaman digital pembayaran tanpa membawa uang cash bs dilakukan bahkan beberapa fasilitas publik cm menerima pembayaran digital.",Positif,sim rekam digital aplikasi tanya razia polisi tugas lengkap kendara salah satu sim tunjuk sim tera aplikasi dasar hukum biar masyarakat tau unt sim digital zaman digital bayar bawa uang cash fasilitas publik terima bayar digital
68,"Hanya bisa untuk perpanjangan SIM, namun sudah sangat membantu di era pandemi saat ini tidak perlu repot-repot kembali ke daerah asal hanya untuk perpanjangan SIM. Semoga prosesnya berhasil sampai terbit SIM baru, agar bisa bintang lima.",Positif,panjang sim bantu era pandemi repot daerah panjang sim moga proses hasil terbit sim bintang
69,"Sekedar saran bagi kalian yg mau perpanjangan SIM, usahakan kalo mau perpanjang lewat online jangan terlalu mepet dgn masa aktifnya, --90 hari sdh bisa di ajukan, jadi kalo misalnya prosesnya lama, nggak dag dig dug. Sy juga sedang mengurus sdh 3 hari mandeg di proses... Untungnya msh 2 bln lagi, Sy jg yakin butuh waktu krn antrian... semoga sim sy cpt terselesaikan.,,, Beberapa saat kemudian paket di kirim ke tujuan, sangat membantu sekali jadi gak repot mesti dateng langsung",Positif,dar saran panjang sim usaha kalo panjang online mepet aktif -- aju kalo proses dag dig dug urus mandeg proses untung butuh antri moga sim cepat selesai paket kirim tuju bantu repot mesti langsung
70,mimin kenapa saya mau ngisi nama polda tidak bisa ya? 😭,Positif,admin ngisi nama polda
71,Ok,Positif,ok
72,Baguss..tapi saya mau daftar SIM baru ko .. halaman belum tersedia ?,Positif,bagus daftar sim halaman sedia
73,Sangat membantu,Positif,bantu
74,"Alhamdulillah berhasil perpanjang SIM online walaupun kemarin sempat panik karena SIM digital masa berlakunya 2021. Prosesnya cepat, malam ujian dan melengkapi data, paginya udah di proses dan dikirim. Tinggal nunggu dateng, terima kasih.",Positif,alhamdulillah hasil panjang sim online kemarin panik sim digital laku proses cepat malam uji lengkap data pagi proses kirim tinggal tunggu terima kasih
75,Ok,Positif,ok
76,Bagus,Positif,bagus
