,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOF86R16pSkBM3lvlChjJP6v_Z6h8V-fk2-pR4NsfDE3QM5rY9JfsHCsIyiUtJN9Cqnylx6TimEd6KOCWQ,deo malida,https://play-lh.googleusercontent.com/a-/AOh14GiJ1SEqYH3RBu1cbt6Ct6GQJJwLZyjgNyJlaz0wrw,"Jujur saya kecewa, sudah mengikuti tes psikologi di ePpsi SIM dan juga tes kesehatan di e-rikkes langsung datang ke klinik Polres, kendala pas registrasi wilayah satpas untuk POLDA RIAU belum terdaftar, begitu hubungi call center disarankan langsung datang ke polres,. Mohon sekali lagi untuk tetap memberikan pelayanan yang baik kepada masyarakat dan segera lakukan pengembangan secepat nya untuk wilayah Polda Riau dan juga yang lain nya. Semoga polri semakin jaya.",1,1,1.1.2004,2021-05-06 10:41:32,,
1,gp:AOqpTOF1epFAJN6-69020TeOZZRI6x9s3DGynQKu1X1osQisgxCjl3ewdmaB2-EOROO2dzrpB606IdtYlruS6A,denny akbar,https://play-lh.googleusercontent.com/a/AATXAJwtR_J1vJYJHemamFy2lJK7lbjfRyMqSwcy4dNd=mo,Aplikasi ga komplit ga Ada pilihan untuk perpanjang sim B2 UMUM,1,0,1.1.2004,2021-05-06 10:33:14,,
2,gp:AOqpTOFf0Bgc-NC-zc9HMWxKm3fw5ohWSGCBTQGgAzJ8o4wAfXrm4lUoYQaOME295OFR4PeUrrVPLLte274ayg,Chivenigen Cc,https://play-lh.googleusercontent.com/a/AATXAJzWcWE4smz0gQi1ricIzof_zcdpG4Y9xC4DJOFK=mo,Mantap,5,0,1.1.2001,2021-05-06 10:31:53,,
3,gp:AOqpTOFvXmz4tCbjhlpJ2QuK0ZIjTXW7qGXu9WpDVobvwpGgJPU2Zs6Dug04_F7IfEYK1quQJA4UIixPFy7-aA,Dhalunk ngapak014,https://play-lh.googleusercontent.com/a-/AOh14Gjf8yNTLyXtFRXje8loyssURKJt21aqVwgf59vndQ,Tiga dulu kalo bagus aku tambah,3,0,1.1.2001,2021-05-06 10:30:21,,
4,gp:AOqpTOEu4INMataNbyPb-vgAkkc9-6_tbLKXY4Az0zD95qfiS1eNiovXAZwNLQaCLmz4kbjP9F_57o9MGGroOA,Fery Susanto,https://play-lh.googleusercontent.com/a/AATXAJyV88UhNPemnErWh1DKb5zMafyVbPoxBTktcb2R=mo,👍,5,0,1.1.2004,2021-05-06 10:26:13,,
5,gp:AOqpTOGa7LPh2e0jIvj3w3yUVdLKxJ8xt7GZg_8H4xw3cO5T2wfWVHudxbnYCdM3T7maEYP9ZNuwHbITSDITeA,bayu hardhiyanto,https://play-lh.googleusercontent.com/a-/AOh14Gg8ii-PTjch7D-GtPSiWyM3U9HJZ9x4Iq56LqLS,semoga lebih baik lagi,5,0,1.0.0,2021-05-06 10:21:25,,
6,gp:AOqpTOHWRjlBR1j1zvSRRM749BPiNtcti1NeAujmXjekKqWCi8nDP_jDDmsjKf315iy4CYxSPChMIrWYTIvoPw,Moch Nasrudin,https://play-lh.googleusercontent.com/a-/AOh14Gh-CBYi48ncCr3zmgvF4Ad1LFIAiPY_kmd4PDN2,Ok,5,0,1.1.2001,2021-05-06 10:12:33,,
7,gp:AOqpTOFIEW_swemE0dEl8tehP-xMubtspV2pPZfEahpx42S09Iy1M6ayJpLT0Gkytm7tyQOS55lHfG2Zbgqazw,amin kdm,https://play-lh.googleusercontent.com/a/AATXAJzZ85Vqnw6b1_ujmoYuQm6qKbXPc0AAiuaaIQ9V=mo,Kenapa gak bisa buat sim saya kira bisa buat bikin sim online,1,0,1.1.2004,2021-05-06 10:11:36,,
8,gp:AOqpTOFCB_Ia4FqEEgLy8uVSs52m0bAN8VxrgsJWEUj8OST4cvHH-bQYk6pVZ1fCjMsG_fbf3xAeTMIE5Oxgew,Faiz Rohman,https://play-lh.googleusercontent.com/a-/AOh14GinfOzl6N6KrETBId0kjR4O0FPcWG_EUj2PY0meKA,"seharusnya ini aplikasi masih beta bukan launching. udah psikotest dan tes kesehatan lewat app (gak gratis lho), ternyata belum bisa dipakai d sby dan harus psikotest dan tes kesehatan ulang ditempat perpanjang offline, yg tes lewat app tidak bisa d pake, bayarnya jd dobel",1,4,1.1.2004,2021-05-06 10:06:55,,
9,gp:AOqpTOFRw861reXr0Yn6oz98qBaZ8zgnurWlJSPDcuLNa6bWYwoJe6NPs70HrwBHCtU_CB045CCTLbAo7DCbJA,Dede Suarna,https://play-lh.googleusercontent.com/a-/AOh14GjZSII40ek6lXh7_Q-XivOtnoZLm1IlWu69NcmdJg,🤗,5,0,1.1.2001,2021-05-06 10:02:23,,
10,gp:AOqpTOHHvioyETiNfqjiwssEwRn8g-UE4ZOctKSyvvhrdomK_0r18CBxnQTwDSO7TU2jxI_Gx4VE9oVCTASbeg,Catur Aldi,https://play-lh.googleusercontent.com/a/AATXAJxYzuS66z6mBaoyXTb2_d49vJoKNrAGjqyGxmNz=mo,Sangat membantu dengan adanya pembuatan sim online,5,0,1.1.2001,2021-05-06 9:54:43,,
11,gp:AOqpTOEbgrI2SHeL2Il-dFheBoQKE6A-NgpM44gZIl-XzepSJ03DftGSShgJZwyyYc9ZelKxWvGP8hmu_RDzBQ,tri wijanarko,https://play-lh.googleusercontent.com/a/AATXAJzqu0Xw9mreC_E1AwDwsX4GYnA3hGDfOVY90Eow=mo,"Alhamdulillah, SIM sudah mendarat dengan selamat sampe Rumah. Terima Kasih banyak buat Korlantas Polri. Mohon maaf jika kemaren agak Pesimis. Dengan Aplikasi ini saya sangat terbantu. Untuk yg laen Mohon bersabar, dari awal daftar mpe SIM mendarat dirumah butuh sekitar 7 Hari kerja (krn lonjakan pendaftar sangat tinggi). SUKSES BUAT KORLANTAS POLRI.",5,24,1.1.2004,2021-05-06 9:49:48,"Mohon maaf, saat ini pengajuan perpanjangan SIM melalui aplikasi mengalami lonjakan pendaftaran sehingga proses di Satpas membutuhkan waktu yang lebih panjang. Silahkan mengecek status transaksi Anda secara berkala. Terima kasih.",2021-05-03 2:32:36
12,gp:AOqpTOE5wQgkC_twa1afV1BcFJl6fa-04WFegpbUMtrfol84sVDXJjNLDWPMq5YRAbtQaVOyelq95IzmWN29DA,Den Bagus,https://play-lh.googleusercontent.com/a-/AOh14Gg1izu13n0MIqxdfaG1rXtw-DT-bOihNVW6u8rcuA,"Tolong ya min di respons... Dari tgl 2 Mei sampai skrg tgl 6 Mei blm jga ada kabar di aplikasi, perpanjangan SIM C dan A semua udh bayar,tolong di jawab min ?? SIM saya dua duanya mati tgl 14 Mei ini,klo sampai tgl 14 blm juga jadi dan blm ada kabar,l klo saya jln lalu saya di tilang gara2 SIM yg saya pegang sdh tdk berlau ,apa yg harus saya jelas ke petugas di lapangan,klo saya sdh jelaskan dan tetap di tilang itu bgmna min siapa yg bertanggung jawab?? Tolong respons nya ya min???",1,6,1.1.2004,2021-05-06 9:45:58,,
13,gp:AOqpTOFxu1WmDD8grBGze3JGlI7_OUzvZks73DP1g5SB5Uyh7NK8Da4bIHXm2-ndHUlDwfF7Cb4TV4XHHoHAfA,chamim fitroni kurniawan,https://play-lh.googleusercontent.com/a-/AOh14Gh1gszvach4ZNqmEHb_fKb4z6szIksfqF9kxqIq3g,Bagus lah,5,0,1.1.2001,2021-05-06 9:36:40,,
14,gp:AOqpTOG7XWPMez3CeaMzgh2z6qS8Crn6r6RnAoZHuhFg5Q3WAhvXujmU31h5H6pt8fXJxEimRtGG83WaCViZlA,Chan Sunny,https://play-lh.googleusercontent.com/a/AATXAJyjx73gGyAr38CviHksxYmAbZn9ICja9d2ymp2B=mo,"Ketika foto wajah untk verifikasi nik emang gagal terus tp pas ganti hp langsung lancar smua prosesnya. Alhamdulillah on proses bikin cardnya. Tinggal nunggu d kirim 😊 makasi korlantas polri dah bikin app ini, gk perlu capek² antre",5,0,1.1.2004,2021-05-06 9:19:57,"Mohon maaf atas ketidaknyamanannya. Pastikan mendapatkan pencahayaan yang baik, tidak mengenakan kacamata saat foto, pandangan fokus ke motion yang ada pada layar handphone Anda dan ikuti instruksi gerakan dari proses pengambilan foto, dan pastikan sinyal atau jaringan dalam kondisi baik. Jangan lupa untuk update aplikasi Digital Korlantas Anda.",2021-05-04 8:03:49
15,gp:AOqpTOHHvtrs-umEAGIRkzI-625CR7xZXEcvPUyjEY2oY8GSr4430STK6Lk6knXuCcQJwCh00M3xyxLc3Jk_oA,Syauqi,https://play-lh.googleusercontent.com/a/AATXAJyiVDRLpMKfy22YFu-oQ0Q26RnWF8J3ex0C_qd0=mo,"Mohon maap pak, Kenapa selalu gagal ketika verfikasi e-ktp yg foto wajah? padahal saya sudah memenuhi syarat-syaratnya.",3,0,1.1.2004,2021-05-06 9:16:35,,
16,gp:AOqpTOGA9KiRYJ2xBNB7VFVrMTkP5mfz5HgDbJU5j0g-VLfJtcivNPK08CE96zN7LpwrHgCGiTGX-Dzw_OsCFg,Kurnia,https://play-lh.googleusercontent.com/a-/AOh14Gh50zq0Kcl-O7YCYFIuCCoV7PdnljSg5JTo3883Pg,Good,5,0,1.1.2001,2021-05-06 9:12:42,,
17,gp:AOqpTOHKAa-QG_sO-ZC3mUXQOriihxuThxepJdReYDCsbDkyftSKlGkN3N1J9xBGOlzT1cmg4vDBgEa1iAZyvw,Subandi Asep,https://play-lh.googleusercontent.com/a/AATXAJxfYfIdi63R-PCkwtGBVpraoqL5TQ09L-3DeaWw=mo,Subandi asep s.kom polri polda,5,0,1.1.2000,2021-05-06 9:07:04,,
18,gp:AOqpTOHM08OjdlDKS3qha8I-QM84O4fM8NBOJNvaFpxJPRpaeQBUvj9iQ6d44kNssywu8fZT0hX_HOmtzhKpGw,Awale Akhire,https://play-lh.googleusercontent.com/a-/AOh14Gg_Xf-ag-nmmn6EKNRMbg8m3y39jHvY6UNhuy74WA,👍👍,3,0,1.1.2004,2021-05-06 9:06:18,,
19,gp:AOqpTOEicFfJUEvWqwKpyGFOwktV_e47bGDKWrMA25b4io20TT4d3BdrGvFajRwdV8ZwhQHQlZDrEAOskQN5DQ,aris solistian,https://play-lh.googleusercontent.com/a/AATXAJwa_okbBLS6uef1aU7XLWk4eOX_HnkMoyE02q9z=mo,Kalo sim hilang bagaimana ya... apa bisa online juga..,3,0,1.1.2004,2021-05-06 8:58:08,,
20,gp:AOqpTOFAoj92xJkEjKLzefnDgr_O9SWeFt44t2hv3W0iLrufxw1v-QoIr-6OkPJ50ds0RwM2eHvGvTu1S1WktA,Manto,https://play-lh.googleusercontent.com/a-/AOh14GjDHqXQTZF0FhtjB7rlxaRbEt-3vE5SuBJYtEUJ,Mudah mudahan dengan mudahnya pelayanan ini masyarakat makin percaya terhadap polri,5,0,1.1.2004,2021-05-06 8:54:45,,
21,gp:AOqpTOF1d4rN195AkUYo98fqaQbcgmB2sezrzPGNPZq0qYtEAqTVqbBozPYVv7SLxfNUMXAiCAhIZfnxvBOtVg,Muhammad yusuf.s,https://play-lh.googleusercontent.com/a-/AOh14Gg_YD_YkjKVQCDiLsQULrKI_-M8QQGXomHOgH8,"Permisi, mau tanya SIM sy habis masa berlakunya bulan juni 2020, skrg saya mau perpanjang lagi dan skalian bayar dendanya, apkah bisa lewat apk ini??",5,0,1.1.2000,2021-05-06 8:53:41,,
22,gp:AOqpTOFSzW23lb8ZFBVkqoK2NfNC_8nmWI04ONENh29qgaRt6YAvZlpv9L-Q7V9YYGoPGTfsp98U8ajb8aGaTQ,Asep Hermana,https://play-lh.googleusercontent.com/a/AATXAJz2U5nneEgzE3803oROfnENaA61WFnSaPOP-7ab=mo,"transaksi gagal dalam pembayaran di karenakan keluar dari aplikasi secara tidak sengaja,mau menyelesaikan pembayaran harus bagaimana ,gak ada petunjuk sama sekali,",5,1,1.1.2004,2021-05-06 8:52:18,,
23,gp:AOqpTOH-aOtzEEAiyfm_t5umUo21xC4zZDuwJqwten-Q8yWRvkS8TtRmyt9lmE-T6Lb8P5__bTtdD6m_83dFiw,Raka Setiyaji,https://play-lh.googleusercontent.com/a-/AOh14GiZ9Iffza1Bezyb2H3c1XyVqbZgFdtbADwdeiZ2Hw,"Perpanjang SIM dari rumah, sudah jadi diantar ke rumah dan pastinya sah. Terima Kasih Polri, semoga ke depan semkain baik. Bravo!.",5,0,1.1.2001,2021-05-06 8:50:54,,
24,gp:AOqpTOHbezApU7_l2A52-EcMnimcApxlnTUC6DDLX-fiY_Ze8nYGEaepYA5QS7T6GqMa6YEzQnOSv9rRFJzxGQ,PT. Solusi Logistik Expres,https://play-lh.googleusercontent.com/a-/AOh14GjwYeaR0kvdtKSr5qkqhHWqmSeyGRVI0vIA97xI,Blm maximal,3,0,1.1.2004,2021-05-06 8:46:57,,
25,gp:AOqpTOHbi0J3j2JTji9LgRx6krsG3pjwIS0Aboo2RRScMC0Vr9-x1HMUIhTCIKxGlRPePlPUyjRPodIsPj3ExQ,Rustam to,https://play-lh.googleusercontent.com/a-/AOh14Gh9FhPObsyvb4dxRb7IxcL4niA2xV29nhnV6Y6a_A,Mudah2an bisa memudah kan kita untuk perpanjang sim,4,0,1.1.2004,2021-05-06 8:40:19,,
26,gp:AOqpTOF30SdmX49UoPkAeOg86zABXLQZPOQWJ3v6Mp5vkuSvFIUNPFvieXIhxdh8PNSz6ikRxCbpryPJhWxyVw,M daday,https://play-lh.googleusercontent.com/a-/AOh14GiBpw8m-B-PY8ZjzW1mQaaZRDQeAmOL0C_XnPsuyw,Alhamdulillah punya saya udah beres mantappppp deh,5,0,1.1.2001,2021-05-06 8:39:30,,
