,Content,Sentiment,content_clean
0,Terima kasih banyak,Positif,terima kasih
1,Apakah bisa buat perpanjangan sim tp bkan nama yg terdaftar di aplikasi.,Positif,panjang sim tp bkan nama yg daftar aplikasi
2,Mau nanya Kalo sim udan mati 1 th masih bisa diperpanjang,Positif,nanya kalo sim udan mati th panjang
3,"Lebih sudah dibanding datang ke polres, kacau",Negatif,banding polres kacau
4,Mohon maaf kenapa saya gagal melakukan verif KTP yaa,Negatif,mohon maaf gagal verif ktp yaa
5,Terimakasih SIM nya sudah sampai.,Positif,terimakasih sim nya
6,Aplikasi nya ga ok gagal mulu,Negatif,aplikasi nya ga ok gagal mulu
7,Bagaimana cara mendownload e-rikkes dan ePPsi. Saya sudah 2 kali mencoba tidak bisa terinstal apliakasinya selalu balik lagi ke halaman awal?,Netral,mendownload e-rikkes eppsi kali coba terinstal apliakasinya halaman
8,"Mau nanya, knp saat saya verifikasi KTP trus mau foto wajah, gagal terus Mohon solusinya",Netral,nanya knp verifikasi ktp trus foto wajah gagal mohon solusi
9,"Oke .... bisa dipakai untuk perpanjangan masa berlaku SIM , untuk fitur perpanjangan STNK tolong segera di aktifkan ya 😁 biar makin mantap",Positif,oke pakai panjang laku sim fitur panjang stnk tolong aktif ya biar mantap
10,Mantap Perpanjang sim ga perlu antre lagi,Positif,mantap panjang sim ga antre
11,"Aplikasi bagus..sangat berguna untuk kami, pertahankan dan tingkatkan terus pelayanan ini..maju terus POLRI..",Positif,aplikasi bagus guna tahan tingkat layan maju polri
12,Mudah &cepat,Positif,mudah cepat
13,"Mantap,,semoga bisa di seluruh polda indonesia dan satpas...",Positif,mantapsemoga polda indonesia satpas
14,Bagus,Netral,bagus
15,Kenapa yang sekarang di sukoharjo kok gak bisa padahal bln mei kemarin bisa. Trus rikkes harus datang ke satlantas juga percuma dong sistem online klo hrus datang dan antri juga... bln mei enak 3 hari sim dah nyampe rumah e giliran sekarang mau perpanjang sim buat istri malah dipersulit n hilang dah biaya test 27500 nya percuma n parah sekarang...,Negatif,sukoharjo gak bln mei kemarin trus rikkes satlantas sistem online klo hrus antri bln mei enak sim dah nyampe rumah e gilir panjang sim istri sulit n hilang dah biaya test nya n parah
16,Saya ko gagal terus verifikasi e-ktp nya ya? Ada yg bisa bantu?,Netral,ko gagal verifikasi e-ktp nya ya yg bantu
17,"Udah download., emang Belum tersedia layanan pembuatan SIM ? kapan ada layanan pembuatan SIM ?",Positif,udah download emang sedia layan buat sim layan buat sim
18,Sangat memuaskan dan membantu sekali,Positif,muas bantu
19,Mantep. Semakin dipermudah membuat sim,Positif,mantep mudah sim
20,Saya blm bisa kasih penjelasan Cozz saya baru mau daftar 🙏🙏🙏,Netral,blm kasih jelas cozz daftar
21,Bagaimana cara mengubah emai,Positif,ubah emai
22,"Saya perpanjang SIM A dari tanggal 27 juni kenapa sampe sekarang belum jadi ya,keterangan y masih sedang proses,padahal SIM saya mati tanggal 29 juni,untuk kolom pengaduan mudah mudahan cepet selesai,biar bisa digunakan untuk keluhan penguna aplikasi",Positif,panjang sim a tanggal juni sampe yaketerangan y prosespadahal sim mati tanggal juniuntuk kolom adu mudah mudah cepet selesaibiar keluh penguna aplikasi
23,Permudah lagi untuk akses warga. Apalagi di amasa pandemi seperti ini. Jadi mengurangi krumunan di polres... Semoga semakin berkembang dengan adanya aplikasi resmi seperti ini 🙏🙏,Positif,mudah akses warga amasa pandemi kurang krumunan polres moga kembang aplikasi resmi
24,"Diperbanyak untuk poldanya, agar lebih cepat prosesnya karena kan ini online, agar bisa mengalahkan konvensional. Terima kasih.",Positif,banyak poldanya cepat proses online kalah konvensional terima kasih
25,Semoga kedepan nya semua fitur-fitur bisa digunakan,Positif,moga depan nya fitur-fitur
26,"Kenapa pilihan untuk wilayah jatim hanya satpas jombang,, sementara saya di bangkalan,, minta solusi dong pak..",Positif,pilih wilayah jatim satpas jombang bangkal solusi
27,Ko saya mau pengajuan bikin SIM knp apk nya susah bngt di gundakan yah lagi2 aplikasi dlm pengembangan lagi lagi apk sdng dlm pengembangan sya download dari bulan April smpe skrng GX bisa di gunain trus ini gmna sih,Negatif,ko aju bikin sim knp apk nya susah bngt gundakan yah aplikasi dlm kembang apk sdng dlm kembang sya download april smpe skrng gx gunain trus gmna sih
28,Efisien dan berkualitas,Positif,efisien kualitas
29,"Mantab, semoga bertambah maju pelayanan onlinenya.",Positif,mantab moga tambah maju layan onlinenya
30,"sudah 3 hari nunggu proses di aplikasi sudah terbayar doang, ga ada lanjutan padahal 9 juli sim mau mati. pembayaran juva sudah berhasil tapi prosesnya ga berlanjut, mohon bantuannya min, udah kirim email juga sama tlp cuma tlp ga bisa, di tlp ga nyambung pas klik ngomomg sama cs",Negatif,nunggu proses aplikasi bayar doang ga lanjut juli sim mati bayar juva hasil proses ga lanjut mohon bantu min udah kirim email tlp tlp ga tlp ga nyambung pas klik ngomomg cs
31,"Permisi, di awal aplikasi pada saat saya daftarkan no hp saya namun selalu tidak menerima kode otp. Sudah berulang2 s/d percobaan ketiga namun masih menerima kode otp. Belum bisa saya gunakan, mohon bantuannya.Terimakasih.",Negatif,permisi aplikasi daftar no hp terima kode otp ulang s d coba tiga terima kode otp mohon bantu terimakasih
32,Mantap,Positif,mantap
33,Bagus aplikasinya tingkatkan terus menerusus untuk menu yang lainnya,Positif,bagus aplikasi tingkat usus menu
34,Aplikasi yang sangatlah membantu untuk mengurus sim.,Positif,aplikasi bantu urus sim
35,Mantapppp perpanjang sim sambil ngopi,Positif,mantappp panjang sim ngopi
36,"Mohon maaf, saya ingin bertanya perihal perpanjang sim melalui aplikasi ini apakah harus perpanjang 90 hari sebelum masa berlaku sim sudah habis atau bagaimana ya? Soalnya saya melakukan perpanjang ada warning harus dilakukan 90 hari sebelum masa sim berlaku habis. Terimakasih",Netral,mohon maaf perihal panjang sim aplikasi panjang laku sim habis ya panjang warning sim laku habis terimakasih
37,"Gimana nih aplikasi Parah banget nih tidak ada kejelasan yg pasti dari aplikasi ,statusnya tidak terproses"" padahal sudah bayar dari kapan tau, sudah email pengaduan tidak merespon ,sudah TLP tidak ada jawaban ,sudah lewat wa tidak merespon juga ,jatuh tempo perpanjang pun sudah lewat , Al hasil harus buat ke kantor ,tapi dari aplikasi tidak ada kejalasan sampe skrg",Negatif,gimana nih aplikasi parah banget nih jelas yg aplikasi status proses bayar tau email adu merespon tlp wa merespon jatuh tempo panjang al hasil kantor aplikasi kejalasan sampe skrg
38,Bagus. Proses cepat. Biaya lebih murah.,Positif,bagus proses cepat biaya murah
39,"Min, fitur menu PKB dong segera di launching... mengingat status jawa bali PPKM DARURAT, tks",Negatif,min fitur menu pkb launching status jawa bal ppkm darurat tks
40,Hasil rikkes ga ada padahal uda melakukan pemeriksaan. Gmn solusinya terima kasih,Positif,hasil rikkes ga uda periksa gmn solusi terima kasih
41,Tidak bisa membuat SIM,Netral,sim
42,Gimana caranya masuk untuk tes kesehatan dan tes psikologi?,Positif,gimana masuk tes sehat tes psikologi
