term,freq
sim,553
aplikasi,397
polri,243
bantu,238
panjang,229
moga,202
mudah,192
proses,188
terima,145
kasih,144
mantap,137
masyarakat,136
bagus,114
kirim,108
online,105
layan,101
verifikasi,95
korlantas,94
bayar,93
mohon,93
tanggal,89
satpas,87
masuk,86
rumah,81
alhamdulillah,79
manfaat,77
coba,76
tunggu,75
hasil,72
daftar,72
terimakasih,71
pilih,69
tinggal,68
cepat,66
polda,65
baik,63
sih,58
otp,53
jaya,53
bravo,52
gagal,52
bintang,52
hp,50
lancar,50
pos,49
tes,49
depan,47
laku,46
ktp,46
sukses,45
selesai,45
data,45
a,42
indonesia,42
maju,40
lokasi,40
april,39
kalo,39
tolong,37
foto,36
sehat,35
kembang,35
pakai,35
kode,34
sulit,33
urus,33
keren,32
antri,32
polisi,32
sedia,32
langsung,31
susah,31
ok,31
tingkat,31
buat,31
digital,30
jatim,30
tahap,30
sabar,29
ikut,28
good,28
metro,28
pandemi,27
pas,27
no,27
habis,26
bikin,26
fitur,26
nomor,26
wilayah,25
biaya,24
saran,24
biar,23
maaf,23
muncul,22
lengkap,22
harap,22
inovasi,22
psikologi,22
login,21
