term,freq
sim,952
aplikasi,886
verifikasi,561
gagal,435
panjang,367
bantu,294
proses,290
mudah,281
ktp,267
polri,259
mohon,242
coba,229
moga,225
masuk,224
bayar,206
kasih,201
otp,196
baik,194
susah,192
terima,191
kirim,188
online,178
masyarakat,173
satpas,171
layan,167
daftar,165
wajah,159
bagus,156
tanggal,154
pilih,144
polda,142
kode,140
tolong,138
data,137
hasil,137
mantap,137
foto,133
tes,130
sih,128
kalo,123
bikin,120
tunggu,117
ikut,117
pakai,114
cepat,112
bintang,109
korlantas,108
email,105
sulit,103
tinggal,95
hp,95
sesuai,94
laku,93
banget,92
rumah,90
ribet,90
terimakasih,87
manfaat,86
sehat,84
alhamdulillah,81
maaf,80
pas,78
lokasi,75
jaya,73
sedia,73
no,73
april,71
ulang,70
habis,69
wilayah,69
langsung,67
jatim,67
buka,67
urus,66
nomor,65
psikologi,65
a,64
selesai,63
tahap,62
lancar,62
buat,61
muncul,61
kembang,60
pos,60
indonesia,59
login,58
polres,58
sukses,55
depan,55
salah,55
deh,54
isi,53
bravo,53
mulu,52
instruksi,52
polisi,50
e,50
metro,49
min,48
tingkat,48
